,place_name,count,geoname_id,latitude,longitude
1,Naples,9,3172394,40.85216,14.26811
2,Florence,34,3176959,43.77925,11.24626
4,Ravenna,1,3169561,44.41344,12.20121
5,Livorno,1,3174659,43.54427,10.32615
7,Nice,1,10294319,45.47237,12.2259
8,Rome,51,3169070,41.89193,12.51133
9,Rovereto,1,3168854,45.8904,11.04053
10,Trento,1,3165243,46.06787,11.12108
11,Trieste,1,3165184,45.713,13.76116
13,Sicily,2,2523118,37.62304,13.93457
15,Matera,21,3173720,42.7514,13.40067
16,Basilicata,18,3182306,40.5041,16.11396
17,Potenza,6,3170027,40.64175,15.80794
18,Bari,4,3182350,40.93333,16.66667
19,Altamura,2,3183178,40.82664,16.54952
20,Ferrandina,2,3177094,40.50084,16.45258
21,Torino,2,3165523,45.13333,7.36667
22,Melfi,2,3173615,40.99571,15.65578
23,Moliterno,1,3173220,40.24394,15.86544
24,Tricarico,1,3165191,40.61458,16.14259
25,Venosa,1,3164592,40.96283,15.81285
26,Episcopia,1,3177377,40.07481,16.09818
27,Irsina,1,3175466,40.75015,16.23816
28,Catania,8,2525065,37.47169,14.84731
29,Messina,1,2524169,38.05,14.86667
30,Palermo,1,2523918,37.81667,13.58333
31,Mezzogiorno,2,12511203,41.08792,15.20913
32,Sicilia,3,2523119,37.75,14.25
33,Milan,16,3173435,45.46427,9.18951
34,Acerenza,1,3183546,40.79386,15.93808
35,Calabria,4,2525468,39.0,16.5
36,Taranto,1,3165926,40.46438,17.24707
37,Puglia,1,3169778,41.00164,16.73378
38,Lucania,1,3174532,40.5,16.0
39,Cavour,1,3179257,44.79286,7.37438
40,Brunetta,1,8964636,39.77714,16.24418
41,Graziani,1,8961322,45.45035,11.84171
42,Venice,41,3164603,45.43713,12.33265
43,Rovigo,1,3168843,45.06982,11.79022
44,Polesine,2,3170393,45.0,11.75
47,Battaglia,1,3182282,42.71287,13.63624
48,Genova,3,6542282,44.41286,8.95729
49,Lazio,1,3174976,42.07762,12.77878
50,Veneto,7,3164604,45.5,11.75
51,Bologna,2,3181927,44.46667,11.43333
52,Liguria,2,3174725,44.5,8.83333
53,Turin,8,3165524,45.07049,7.68682
54,Pescia,2,3171148,43.8871,10.68849
55,Pistoia,1,3170621,43.93064,10.92365
56,Lucca,5,3174530,43.84369,10.50447
57,Piacenza,1,3171058,45.05242,9.69342
58,Piemonte,1,3170830,42.77405,12.54897
59,Fratta,1,3176570,44.14029,12.09675
60,Milano,5,6542283,45.46416,9.19199
62,Ponti,1,3170207,44.62847,8.36461
64,Canton,7,3180765,45.60862,12.35067
65,Fortini,2,8973152,45.52735,11.2633
66,Salerno,5,3168673,40.67545,14.79328
67,Prato,4,3169911,46.37364,13.30659
68,Verona,2,3164527,45.43854,10.9938
69,Fiorini,1,6947698,41.8991,12.5
70,Pomaro,1,3170348,44.91667,9.46667
71,Teano,1,3165856,41.25132,14.06652
73,Campana,1,2525430,39.4136,16.8222
74,Roma,2,3169071,41.90036,12.49575
75,Grandi,1,8979658,45.62721,11.19587
76,Pisa,3,3170647,43.70853,10.4036
77,Perugia,1,3171180,43.1122,12.38878
78,Laterza,1,3175064,40.62881,16.79947
80,Ferrara,3,3177090,44.83804,11.62057
82,Corsica,1,9031433,42.67486,12.06108
83,Bastia,1,3182288,43.35412,12.81343
84,Madrid,3,10339094,41.90409,12.48225
85,Siena,2,3166548,43.31822,11.33064
86,Acireale,1,2525790,37.60886,15.16577
87,Pedara,1,2523850,37.62386,15.05672
88,Napoli,2,3172391,40.88333,14.41667
89,Parma,1,3171457,44.79935,10.32618
90,Purgatorio,6,2523670,39.41667,16.5
92,Calvino,49,8972994,44.88375,8.11571
96,Modena,2,3173331,44.64783,10.92539
97,Agrigento,1,2525763,37.45,13.5
99,Umbria,1,3165048,43.0,12.5
100,Bergamo,1,3182164,45.69601,9.66721
101,Aretino,1,9173469,43.46252,11.87864
102,Valeria,1,8977273,44.82941,8.94162
103,Oria,1,3171961,40.49999,17.6428
104,Lodi,1,3174638,45.30989,9.50085
105,Serenissima,2,6472752,45.508,12.251
106,Firenze,1,6471013,45.43326,12.33597
107,Risorgimento,1,8958713,45.75488,12.27099
108,Alba,1,3183364,44.6999,8.0347
109,Mombarcaro,1,6534291,44.46764,8.08824
110,Valdivilla,1,8955600,44.70948,8.18276
111,Pera,1,8659201,46.44097,11.69332
